sale_id,game_id,platform,publisher,developer,games_sold,years
40,4397,PS2,Rockstar Games,Rockstar North,16.15,2002
41,4389,X360,Rockstar Games,Rockstar North,15.86,2013
42,8665,DS,Nintendo,Game Freak,15.64,2011
43,1470,PS4,Activision,Treyarch,15.09,2015
44,1963,PC,VU Games,Valve Software,15,2004
45,10461,GEN,Sega,Sonic Team,15,1991
46,4366,PS2,Sony Computer Entertainment,Polyphony Digital,14.89,2001
47,1239,DS,Nintendo,Nintendo SDD,14.88,2007
48,1478,X360,Activision,Infinity Ward,14.82,2011
49,1469,X360,Activision,Treyarch,14.74,2010
50,8711,GB,Nintendo,Game Freak,14.64,1999
51,4612,X360,Microsoft Game Studios,Bungie Studios,14.5,2007
52,8688,3DS,Nintendo,Game Freak,14.27,2014
53,11440,PC,Unknown,Re-Logic,14,2011
54,9244,PS4,Rockstar Games,Rockstar Games,13.94,2018
55,1471,X360,Activision,Treyarch,13.86,2012
56,1471,PS3,Activision,Treyarch,13.8,2012
57,1477,X360,Activision,Infinity Ward,13.53,2009
58,425,NS,Nintendo,Nintendo,13.41,2020
59,1488,PS4,Activision,Sledgehammer Games,13.4,2017
60,1478,PS3,Activision,Infinity Ward,13.35,2011
61,7845,3DS,Nintendo,Nintendo,13.34,2012
62,11121,Wii,Nintendo,Project Sora,13.32,2008
63,6615,PS4,Sony Interactive Entertainment,Insomniac Games,13.2,2018
64,4386,PS2,Rockstar Games,DMA Design,13.1,2001
65,8769,PC,Valve,Valve Software,13.06,2011
66,6970,X360,Microsoft Studios,Mojang,13,2013
67,11025,Wii,Nintendo,Nintendo EAD Tokyo,12.8,2007
68,8679,DS,Nintendo,Game Freak,12.72,2010
69,11012,3DS,Nintendo,Nintendo EAD Tokyo,12.7,2011
70,1469,PS3,Activision,Treyarch,12.67,2010
71,4389,PC,Rockstar Games,Rockstar North,12.6,2015
72,426,3DS,Nintendo,Nintendo EAD,12.55,2013
73,12005,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,12.4,2015
74,2517,PC,Blizzard Entertainment,Blizzard Entertainment,12,2012
75,4600,PC,VU Games,Valve Software,12,2004
76,8676,GBA,Nintendo,Game Freak,12,2004
77,13143,PC,Blizzard Entertainment,Blizzard Entertainment,12,2004
78,8716,NS,Nintendo,Game Freak,11.97,2018
79,4369,PS3,Sony Computer Entertainment,Polyphony Digital,11.95,2010
80,11014,N64,Nintendo,Nintendo EAD,11.91,1996
81,3658,PS4,EA Sports,EA Vancouver,11.8,2017
82,11736,PS4,Sony Computer Entertainment,Naughty Dog,11.78,2014
83,4367,PS2,Sony Computer Entertainment,Polyphony Digital,11.76,2005
84,427,DS,Nintendo,Nintendo EAD,11.75,2005
85,11029,GB,Nintendo,Nintendo R&D1,11.18,1992
86,4387,X360,Rockstar Games,Rockstar North,11.09,2008
87,11015,DS,Nintendo,Nintendo EAD,11.06,2004
88,4286,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,11,2018
89,10764,PC,Blizzard Entertainment,Blizzard Entertainment,11,1998
90,3657,PS4,Electronic Arts,EA Canada,10.94,2016
91,4362,PS,Sony Computer Entertainment,Polyphony Digital,10.85,1998
92,12005,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,10.8,2015
93,1477,PS3,Activision,Infinity Ward,10.61,2009
94,4387,PS3,Rockstar Games,Rockstar North,10.57,2008
95,11018,SNES,Nintendo,Nintendo EAD,10.55,1993
96,1474,X360,Activision,Infinity Ward,10.41,2013
97,5585,Wii,Ubisoft,Ubisoft Paris,10.14,2011
98,1474,PS3,Activision,Infinity Ward,10.13,2013
99,10600,NS,Nintendo,Nintendo EPD,10.13,2017
100,11034,NS,Nintendo,"Nd Cube Co., Ltd.",10.1,2018
101,4960,PS4,Sony Interactive Entertainment,Guerrilla Games,10,2017
102,9503,PC,Atari,Frontier Developments,10,2004
103,4621,X360,Microsoft Game Studios,Bungie,9.97,2010
104,8768,PC,Valve Corporation,Valve Software,9.97,2008
105,4614,X360,Microsoft Studios,343 Industries,9.96,2012
106,3749,PS,Sony Computer Entertainment,SquareSoft,9.9,1997
107,6546,N64,Nintendo,Nintendo EAD,9.87,1997
108,11122,3DS,Nintendo,Bandai Namco Games,9.59,2014
109,1466,X360,Activision,Infinity Ward,9.41,2007
110,4365,PS,Sony Computer Entertainment,Polyphony Digital,9.37,1999
111,12988,Wii,Nintendo,"Nd Cube Co., Ltd.",9.34,2010
112,1472,PS4,Activision,Treyarch,9.32,2018
113,6567,DS,Nintendo,Hudson Soft,9.31,2007
114,2767,SNES,Nintendo,Rare Ltd.,9.3,1994
115,4599,PC,Sierra Entertainment,Valve Software,9.3,1998
116,12602,PS3,Sony Computer Entertainment,Naughty Dog,9.3,2011
117,3659,PS4,Electronic Arts,EA Sports,9.15,2018
118,9611,PC,Facepunch Studios,Facepunch Studios,9.02,2018
119,11581,X360,Bethesda Softworks,Bethesda Game Studios,8.88,2011
120,6564,Wii,Nintendo,Hudson Soft,8.85,2007
121,8717,3DS,Nintendo,Game Freak,8.77,2017
122,11027,SNES,Nintendo,Nintendo EAD,8.76,1992
123,4389,XOne,Rockstar Games,Rockstar North,8.72,2014
124,3752,PS,Square EA,SquareSoft,8.6,1999
125,3753,PS2,Square,SquareSoft,8.6,2001
126,8666,DS,Nintendo,Game Freak,8.52,2012
127,1475,PS4,Activision,Infinity Ward,8.48,2016
128,3506,PS4,Bethesda Softworks,Bethesda Game Studios,8.48,2015
129,6548,WiiU,Nintendo,Nintendo,8.45,2014
130,11386,PS,Namco,Namco,8.3,1998
131,3656,PS4,EA Sports,EA Canada,8.22,2015
132,11735,PS3,Sony Computer Entertainment America,Naughty Dog,8.15,2013
133,4330,N64,Nintendo,Rare Ltd.,8.09,1997
134,10712,PS4,Electronic Arts,EA DICE,8.03,2015
135,3653,PS3,EA Sports,EA Canada,8.01,2012
136,7656,PS4,2K Sports,Visual Concepts,8,2019
137,4610,XB,Microsoft Game Studios,Bungie Studios,8,2004
138,11909,PC,Electronic Arts,EA Redwood Shores,7.96,2009
139,4392,PSP,Rockstar Games,Rockstar Leeds,7.72,2005
140,8304,2600,Atari,Atari,7.7,1982
141,4289,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,7.6,2010
142,8692,DS,Nintendo,Game Freak,7.6,2009
143,11778,N64,Nintendo,Nintendo EAD,7.6,1998
144,1977,PS,Sony Computer Entertainment,Naughty Dog,7.58,1997
145,1468,PS4,Activision,Sledgehammer Games,7.53,2014
146,1486,X360,Activision,Treyarch,7.5,2008
147,11021,NES,Nintendo,Nintendo EAD,7.46,1988
148,11026,Wii,Nintendo,Nintendo EAD Tokyo,7.41,2010
149,11124,GC,Nintendo,HAL Laboratory,7.41,2001
150,1470,XOne,Activision,Treyarch,7.37,2015
151,893,X360,Electronic Arts,Dice,7.35,2011
152,13363,3DS,Nintendo,Level 5,7.29,2016
153,11789,Wii,Nintendo,Nintendo EAD,7.26,2006
154,881,PS4,Electronic Arts,EA DICE,7.26,2016
155,893,PS3,Electronic Arts,Dice,7.21,2011
156,7770,PS2,Electronic Arts,EA Black Box,7.2,2003
157,11515,PC,Edmund McMillen,Edmund McMillen,7.17,2011
158,3660,PS4,Electronic Arts,EA Sports,7.15,2019
159,1979,PS,Sony Computer Entertainment,Naughty Dog,7.13,1998
160,8675,GBA,Nintendo,Game Freak,7.06,2005
161,4468,PC,NCSoft,ArenaNet,7,2012
162,7771,PS2,Electronic Arts,EA Black Box,6.9,2004
163,5586,Wii,Ubisoft,Ubisoft,6.89,2012
164,6552,GC,Nintendo,Nintendo EAD,6.88,2003
165,6700,PS2,Electronic Arts,EA Los Angeles,6.83,2002
166,1976,PS,Sony Computer Entertainment,Naughty Dog,6.82,1996
167,12601,PS3,Sony Computer Entertainment,Naughty Dog,6.74,2009
168,1466,PS3,Activision,Infinity Ward,6.72,2007
169,3674,PS3,EA Sports,EA Canada,6.65,2011
170,3654,PS3,EA Sports,EA Canada,6.61,2013
171,3506,PC,Bethesda Softworks,Bethesda Game Studios,6.6,2015
172,7847,NS,Nintendo,Nintendo EPD,6.6,2019
173,12250,3DS,Nintendo,Nintendo,6.59,2014
174,9243,PS3,Rockstar Games,Rockstar San Diego,6.57,2011
175,2772,Wii,Nintendo,Retro Studios,6.53,2010
176,11769,NES,Nintendo,Nintendo EAD,6.51,1987
177,600,PS3,Ubisoft,Ubisoft Montreal,6.5,2012
178,4467,PC,NCSoft,ArenaNet,6.5,2005
179,9243,X360,Rockstar Games,Rockstar San Diego,6.5,2010
180,11581,PS3,Bethesda Softworks,Bethesda Game Studios,6.49,2011
181,3766,PS2,Square Enix,Square Enix,6.4,2006
182,8672,GBC,Nintendo,Game Freak,6.39,2001
183,4613,X360,Microsoft Game Studios,Bungie,6.35,2009
184,6970,PS4,Sony Computer Entertainment,Mojang,6.33,2014
185,6327,NS,Nintendo,"Next Level Games, Inc.",6.33,2019
186,3655,PS4,EA Sports,EA Canada,6.32,2014
187,5856,PS2,Square EA,SquareSoft,6.3,2002
188,7448,PC,Broderbund,Cyan Worlds,6.3,1995
189,10856,SNES,Capcom,Capcom,6.3,1992
190,3041,PS,GT Interactive,Reflections Interactive,6.27,1999
191,1488,XOne,Activision,Sledgehammer Games,6.23,2017
192,6328,3DS,Nintendo,Next Level Games,6.16,2013
193,991,DS,Nintendo,Nintendo EAD,6.15,2006
194,6970,PS3,Sony Computer Entertainment America,Mojang,6.05,2014
195,6847,PS2,Konami,Konami Computer Entertainment Japan,6.05,2001
196,11779,3DS,Nintendo,GREZZO,6.02,2011
197,1757,PC,Paradox Interactive,Colossal Order,6,2015
198,6846,PS,Konami,Konami Computer Entertainment Japan,6,1998
199,10463,GEN,Sega,Sonic Team,6,1992
200,6851,PS3,Konami,Kojima Productions,6,2008
201,3362,PC,SCS Software,SCS Software,5.98,2013
202,6553,GBA,Nintendo,Intelligent Systems,5.91,2001
203,11037,GC,Nintendo,Nintendo EAD,5.91,2002
204,11013,WiiU,Nintendo,Nintendo EAD Tokyo,5.84,2013
205,223,PC,Microsoft Studios,Hidden Path Entertainment,5.82,2013
206,7846,WiiU,Nintendo,Nintendo EAD,5.8,2012
207,6202,Wii,Nintendo,Nintendo EAD,5.79,2007
208,9244,XOne,Rockstar Games,Rockstar Games,5.77,2018
209,2465,PS4,Activision,Bungie,5.76,2014
210,11385,PS,Namco,Namco,5.74,1996
211,12607,PS4,Sony Computer Entertainment,Bluepoint Games,5.7,2015
212,11041,GBA,Nintendo,Nintendo EAD,5.69,2002
213,6151,Wii,LucasArts,Traveller's Tales,5.66,2007
214,1927,DS,Majesco,Office Create,5.66,2006
215,11454,NES,Nintendo,Nintendo,5.58,1989
216,11016,GBA,Nintendo,Nintendo EAD,5.57,2001
217,597,PS3,Ubisoft,Ubisoft Montreal,5.57,2009
218,11120,N64,Nintendo,HAL Laboratory,5.55,1999
219,594,X360,Ubisoft,Ubisoft Montreal,5.55,2007
220,831,PS3,Warner Bros. Interactive,Rocksteady Studios,5.54,2011
221,3917,X360,Microsoft Game Studios,Turn 10 Studios,5.5,2009
222,2936,DS,Nintendo,Level 5,5.5,2010
223,3737,PS,Square,SquareSoft,5.5,2000
224,3756,PS2,Square Enix,Square Enix,5.5,2003
225,10178,PC,2K Games,Firaxis Games,5.5,2016
226,12234,PC,Square Enix,Crystal Dynamics,5.5,2013
227,11032,NS,Nintendo,Nintendo,5.48,2019
228,8702,N64,Nintendo,HAL Laboratory,5.46,2000
229,6970,XOne,Microsoft Studios,Mojang,5.43,2014
230,1486,PS3,Activision,Treyarch,5.43,2008
231,11017,GBA,Nintendo,Nintendo EAD,5.43,2003
232,1983,PS2,Universal Interactive,Traveller's Tales,5.42,2001
233,11123,WiiU,Nintendo,Bandai Namco Games,5.37,2014
234,3770,PS3,Square Enix,Square Enix,5.35,2010
235,4370,PS3,Sony Computer Entertainment,Polyphony Digital,5.35,2008
236,2844,GB,Nintendo,Nintendo R&D1,5.34,1990
237,600,X360,Ubisoft,Ubisoft Montreal,5.31,2012
238,8689,GBC,Nintendo,Jupiter Corporation,5.31,1999
239,597,X360,Ubisoft,Ubisoft Montreal,5.3,2009
240,11609,PC,Endnight Games Ltd,Unknown,5.3,2014
241,2764,N64,Nintendo,Rare Ltd.,5.27,1999
242,5577,Wii,Ubisoft,Ubisoft Paris,5.25,2010
243,12236,PS,Eidos Interactive,Core Design Ltd.,5.24,1997
244,6404,PS2,EA Sports,EA Tiburon,5.23,2003
245,1468,XOne,Activision,Sledgehammer Games,5.22,2014
246,3512,PC,Bethesda Softworks,Obsidian Entertainment,5.22,2010
247,4371,PS3,Sony Computer Entertainment America,Polyphony Digital,5.22,2013
248,5863,PS2,Square Enix,Square Enix,5.2,2006
249,8022,WiiU,Nintendo,Nintendo,5.2,2012
250,11030,GB,Nintendo,Nintendo R&D1,5.19,1994
251,2769,SNES,Nintendo,Rare Ltd.,5.15,1995
252,6702,PS2,Electronic Arts,EA Los Angeles,5.13,2003
253,881,XOne,Electronic Arts,EA DICE,5.13,2016
254,5913,GB,Nintendo,HAL Laboratory,5.13,1992
255,6918,PC,Microsoft,Microsoft,5.12,1996
256,4498,PS2,RedOctane,Harmonix Music Systems,5.12,2006
257,3653,X360,EA Sports,EA Canada,5.11,2012
258,9298,PS3,Capcom,Capcom,5.1,2009
259,3477,X360,Microsoft Game Studios,Lionhead Studios,5.1,2010
260,6534,DS,Sega,Sega,5.1,2008
261,4398,PSP,Rockstar Games,Rockstar Leeds,5.08,2006
262,3673,PS3,EA Sports,EA Canada,5.08,2010
263,11024,GB,Nintendo,Nintendo EAD,5.07,1999
264,3777,PS4,Square Enix,Square Enix,5.07,2016
265,3506,XOne,Bethesda Softworks,Bethesda Game Studios,5.03,2015
266,12264,PS,Activision,Neversoft Entertainment,5.02,1999
267,12909,PS,Eidos Interactive,Pumpkin Studios,5.01,1999
268,10656,PS,Sony Computer Entertainment,Insomniac Games,5,1998
269,4156,X360,Microsoft Game Studios,Epic Games,5,2006
270,4157,X360,Microsoft Game Studios,Epic Games,5,2008
271,4615,XOne,Microsoft Studios,343 Industries,5,2015
272,4619,XB,Microsoft,Bungie Studios,5,2001
273,4499,PS2,RedOctane,BudCat Creations,4.98,2007
274,12604,PS3,Sony Computer Entertainment,Naughty Dog,4.97,2007
275,9294,PS,Capcom,Capcom,4.96,1998
276,3502,X360,Bethesda Softworks,Bethesda Game Studios,4.96,2008
277,10599,WiiU,Nintendo,Nintendo EAD,4.95,2015
278,6385,PS2,EA Sports,EA Tiburon,4.91,2005
279,10769,PC,Chucklefish,ConcernedApe,4.91,2016
280,2956,PS2,Square Enix,Level 5 / Armor Project,4.9,2005
281,7159,PSP,Capcom,Capcom,4.9,2010
282,2529,N64,Nintendo,Rare Ltd.,4.88,1997
283,8683,DS,Nintendo,ChunSoft,4.88,2008
284,1472,XOne,Activision,Treyarch,4.85,2018
285,2844,NES,Nintendo,Nintendo R&D1,4.85,1990
286,1980,PS4,Activision,Vicarious Visions,4.83,2017
287,594,PS3,Ubisoft,Ubisoft Montreal,4.83,2007
288,1475,XOne,Activision,Infinity Ward,4.79,2016
289,1990,PS,Sony Computer Entertainment,Naughty Dog,4.79,1999
290,6151,DS,LucasArts,Traveller's Tales,4.77,2007
291,11783,DS,Nintendo,Nintendo EAD,4.76,2007
292,831,X360,Warner Bros. Interactive,Rocksteady Studios,4.75,2011
293,3043,PS,Atari,Reflections Interactive,4.73,2000
294,11890,PS2,VU Games,Radical Entertainment,4.7,2003
295,13145,PC,Blizzard Entertainment,Blizzard Entertainment,4.7,2010
296,12265,PS,Activision,Neversoft Entertainment,4.68,2000
297,4362,PSP,Sony Computer Entertainment,Polyphony Digital,4.67,2009
298,11807,PS2,Electronic Arts,Stormfront Studios,4.67,2002
299,12233,PS,Eidos Interactive,Core Design Ltd.,4.63,1996
300,4285,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,4.62,2005
301,11771,SNES,Nintendo,Nintendo EAD,4.61,1992
302,6089,PC,Valve Corporation,Valve Software,4.6,2008
303,3919,X360,Microsoft Studios,Turn 10 Studio,4.6,2011
304,4499,Wii,RedOctane,Vicarious Visions,4.6,2007
305,8027,3DS,Nintendo,Nintendo EAD,4.59,2011
306,8715,NS,Nintendo,Game Freak,4.57,2018
307,1023,PC,2K Games,Irrational Games,4.56,2013
308,6526,DS,Nintendo,AlphaDream Corporation,4.56,2009
309,3655,PS3,EA Sports,EA Canada,4.56,2014
310,6535,Wii,Sega,Sega,4.54,2009
311,8296,PS4,Blizzard Entertainment,Blizzard Entertainment,4.54,2016
312,6405,PS2,EA Sports,EA Tiburon,4.53,2004
313,4499,X360,RedOctane,Neversoft,4.53,2007
314,10714,PS4,Electronic Arts,EA DICE,4.53,2017
315,2297,PC,Deep Silver,Techland,4.52,2011
316,527,PC,Meridian4,Bohemia Interactive,4.51,2010
317,525,PC,Studio Wildcard,Studio Wildcard,4.5,2015
318,6230,PS3,Sony Computer Entertainment,Media Molecule,4.5,2008
319,9403,PC,Red Orb,Cyan Worlds,4.5,1997
320,10768,PC,Blizzard Entertainment,Blizzard Entertainment,4.5,2010
321,12853,PC,Blizzard Entertainment,Blizzard Entertainment,4.5,2002
322,8608,2600,Activision,Activision,4.5,1982
323,8933,DS,Nintendo,Level 5,4.49,2008
324,6386,PS2,EA Sports,EA Tiburon,4.49,2006
325,10583,PS2,Activision,Treyarch,4.48,2002
326,11575,X360,Take-Two Interactive,Bethesda Softworks,4.47,2009
327,11787,GC,Nintendo,Nintendo EAD,4.43,2003
328,12267,PS2,Activision,Neversoft Entertainment,4.41,2001
329,13021,PS2,Konami,Konami Computer Entertainment Tokyo,4.39,2007
330,11774,NS,Nintendo,Nintendo,4.38,2019
331,13492,NES,Nintendo,Nintendo EAD,4.38,1988
332,6909,Wii,Ubisoft,Ubisoft Montpellier,4.37,2010
333,12232,PS4,Ubisoft,Massive Entertainment,4.37,2016
334,7776,PS2,Electronic Arts,EA Canada,4.37,2005
335,9326,PS3,Sony Computer Entertainment,Insomniac Games,4.37,2006
336,12219,PS4,Ubisoft,Ubisoft Montreal,4.36,2015
337,1468,X360,Activision,High Moon Studios,4.34,2014
338,12912,PS4,Ubisoft,Ubisoft Montreal,4.32,2014
339,423,Wii,Nintendo,Nintendo EAD,4.32,2008
340,10763,PC,"Infocom, Inc.",Unknown,4.31,2014
341,623,2600,Atari,Atari,4.31,1981
342,2954,PS,Enix,Heart Beat,4.3,2001
343,7169,3DS,Capcom,Capcom,4.3,2016
344,12005,XOne,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,4.3,2015
345,830,PS3,Eidos Interactive,Rocksteady Studios,4.28,2009
346,1468,PS3,Activision,High Moon Studios,4.27,2014
347,4288,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,4.24,2007
348,7483,GBA,Namco,Mass Media,4.24,2001
349,2281,PSP,Sony Computer Entertainment,Ready at Dawn,4.23,2006
350,11059,Wii,Nintendo,Intelligent Systems,4.23,2007
351,611,PS3,Ubisoft,Ubisoft Montreal,4.23,2011
352,6849,PS2,Konami,KCEJ / Kojima Productions,4.23,2004
353,611,X360,Ubisoft,Ubisoft Montreal,4.22,2011
354,3668,PS2,EA Sports,EA Canada,4.21,2005
355,1960,PC,Sierra Studios,Unknown,4.2,2000
356,7154,3DS,Capcom,Capcom,4.2,2015
357,7220,PS4,NetherRealm Studios,Warner Bros. Interactive Entertainment,4.2,2019
358,10859,PS3,Capcom,Capcom / Dimps Corporation,4.19,2009
359,101,PC,The Fun Pimps,The Fun Pimps,4.18,2013
360,3674,X360,EA Sports,EA Canada,4.18,2011
361,1474,PS4,Activision,Infinity Ward,4.17,2013
362,11365,NES,Ultra Games,Konami,4.17,1989
363,5573,PC,Eidos Interactive,Avalanche Studios,4.16,2010
364,3403,NES,Nintendo,Nintendo R&D1,4.16,1985
365,3962,PS,Hasbro Interactive,Millenium Interactive,4.16,1997
366,10712,XOne,Electronic Arts,EA DICE,4.15,2015
367,3654,X360,EA Sports,EA Canada,4.15,2013
368,6403,PS2,EA Sports,EA Tiburon,4.14,2002
369,613,PS4,Ubisoft,Ubisoft Montreal,4.14,2014
370,2466,PS4,Activision,Bungie,4.14,2017
371,11040,SNES,Nintendo,Nintendo EAD,4.12,1995
372,833,PS4,Warner Bros. Interactive,Rocksteady Studios,4.11,2015
373,3652,PS2,EA Sports,Team Fusion,4.11,2006
374,11921,PC,Electronic Arts,Maxis,4.1,2014
375,7153,3DS,Capcom,Capcom,4.1,2013
376,10855,SNES,Capcom,Capcom,4.1,1993
377,3512,X360,Bethesda Softworks,Obsidian Entertainment,4.08,2010
378,11770,3DS,Nintendo,Nintendo EAD,4.07,2013
379,604,PS4,Ubisoft,Ubisoft Montreal,4.06,2017
380,3572,PS4,Ubisoft,Ubisoft Montreal,4.06,2014
381,1541,Wii,Global Star Software,Cat Daddy Games,4.06,2007
382,13173,PS2,Konami,Konami Computer Entertainment Tokyo,4.06,2006
383,3916,X360,Microsoft Game Studios,Turn 10 Studios,4.05,2007
384,7494,PS,Namco,Namco,4.05,1997
385,11394,PS2,Namco,Namco,4.05,2000
386,4333,NES,Nintendo,Nintendo,4.01,1985
387,11031,WiiU,Nintendo,Nintendo EAD,4.01,2015
388,529,PC,Bohemia Interactive,Bohemia Interactive,4,2013
389,2515,PC,Blizzard Entertainment,Blizzard North,4,2000
390,2654,GEN,Sega,Virgin Interactive,4,1993
391,3431,PS2,Sony Computer Entertainment,SCEE London Studio,4,2003
392,5576,Wii,Ubisoft,Ubisoft Paris,4,2009
393,7174,PS4,Capcom,Capcom,4,2018
394,10683,N64,Nintendo,Nintendo EAD,4,1997
395,11737,PS4,Sony Interactive Entertainment,Naughty Dog,4,2020
396,13150,PC,Blizzard Entertainment,Blizzard Entertainment,4,2008
397,3502,PS3,Bethesda Softworks,Bethesda Game Studios,4,2008
398,11781,GBC,Nintendo,Capcom,3.99,2001
399,11581,PC,Bethesda Softworks,Bethesda Game Studios,3.99,2011
400,7497,PS2,Namco,Digital Eclipse,3.98,2005
401,7651,PS4,2K Sports,Visual Concepts,3.98,2015
402,6090,X360,Electronic Arts,Certain Affinity / Valve Software,3.97,2009
403,3573,PS4,Ubisoft,Ubisoft,3.95,2018
404,894,PS4,Electronic Arts,EA DICE,3.94,2013
405,602,PS3,Ubisoft,Ubisoft Montreal,3.94,2013
406,3178,Wii,EA Sports,EA Vancouver,3.93,2009
407,4601,PC,Electronic Arts,Valve Software,3.92,2006
408,2780,GB,Nintendo,Rare Ltd.,3.91,1995
409,3293,DS,Nintendo,Plato,3.91,2006
410,2931,NES,Enix,ChunSoft,3.9,1992
411,12272,PS2,Activision,Neversoft Entertainment,3.9,2003
412,5579,Wii,Ubisoft,Ubisoft Paris,3.89,2013
413,8934,DS,Nintendo,Level 5,3.88,2009
414,10632,PS3,Sony Computer Entertainment,SCE San Diego Studio,3.88,2010
415,13171,PS2,Konami,Konami Computer Entertainment Tokyo,3.85,2005
416,7492,PS,Namco,Namco,3.84,1996
417,11774,GB,Nintendo,Nintendo EAD,3.83,1993
418,9307,PS4,Capcom,Capcom,3.83,2017
419,7160,PSP,Capcom,Capcom Production Studio 1,3.8,2009
420,6399,PS4,EA Sports,EA Tiburon,3.78,2019
421,4373,PS4,Sony Interactive Entertainment,Polyphony Digital,3.77,2017
422,6131,X360,LucasArts,Traveller's Tales,3.76,2008
423,11940,PC,Electronic Arts,Maxis,3.76,2002
424,12248,DS,Nintendo,Nintendo SPD Group No.1,3.76,2009
425,9160,PSP,Sony Computer Entertainment,High Impact Games,3.75,2007
426,4687,PS,Electronic Arts,Argonaut Games,3.73,2001
427,8707,GB,Nintendo,Hudson Soft,3.72,2000
428,3657,XOne,Electronic Arts,EA Canada,3.71,2016
429,10662,PS,Sony Computer Entertainment,Insomniac Games,3.71,2000
430,3680,PS2,EA Sports,EA Canada,3.7,2004
431,2519,PC,Blizzard Entertainment,Blizzard Entertainment,3.7,2014
432,11784,Wii,Nintendo,Nintendo EAD,3.67,2011
433,12268,PS2,Activision,Neversoft Entertainment,3.67,2002
434,6925,PSP,Rockstar Games,Rockstar Leeds,3.66,2005
435,7441,DS,Electronic Arts,EA Redwood Shores,3.66,2007
436,777,N64,Nintendo,Rare Ltd.,3.65,1998
437,10400,PS2,Sony Computer Entertainment,Zipper Interactive,3.65,2002
438,894,PS3,Electronic Arts,EA DICE,3.64,2013
439,5327,PS2,Sony Computer Entertainment,Naughty Dog,3.64,2001
440,8701,N64,Nintendo,HAL Laboratory,3.63,1999
441,8884,PS2,Konami,Konami,3.63,2008
442,3672,PS3,EA Sports,EA Canada,3.63,2009
443,4509,Wii,Activision,Vicarious Visions,3.62,2008
444,4162,XOne,Microsoft Studios,The Coalition,3.62,2015
445,10711,PS2,LucasArts,Pandemic Studios,3.61,2004
446,2793,PC,GT Interactive,id Software,3.61,1994
447,11891,PS2,Electronic Arts,Radical Entertainment,3.61,2001
448,877,PC,The Behemoth,The Behemoth,3.61,2014
449,606,PS4,Ubisoft,Ubisoft Quebec,3.6,2015
450,10713,PS2,LucasArts,Pandemic Studios,3.59,2005
451,613,XOne,Ubisoft,Ubisoft Montreal,3.58,2014
452,1928,DS,Majesco,Office Create,3.58,2007
453,12615,PC,Toby Fox,Toby Fox,3.58,2015
454,13266,PS,THQ,Yuke's,3.58,2000
